Package Name,Title,CRAN,Abstract,Version,Depends,Imports,Suggests
ucminf,ucminf: General-Purpose Unconstrained Non-Linear Optimization,OK,"An algorithm for general-purpose unconstrained non-linear optimization.
             The algorithm is of quasi-Newton type with BFGS updating of the inverse
             Hessian and soft line search with a trust region type monitoring of the
             input to the line search algorithm. The interface of 'ucminf' is
             designed for easy interchange with 'optim'.",1.1-4,NA,NA,numDeriv
urca,urca: Unit Root and Cointegration Tests for Time Series Data,OK,"Unit root and cointegration tests encountered in applied 
 econometric analysis are implemented.",1.3-0,"R (≥ 2.0.0), methods","nlme, graphics, stats",NA
vars,vars: VAR Modelling,OK,"Estimation, lag selection, diagnostic testing, forecasting, causality analysis, forecast error variance decomposition and impulse response functions of VAR models and estimation of SVAR and SVEC models.",1.5-3,"R (≥ 2.0.0), MASS, strucchange, urca (≥ 1.1-6), lmtest (≥
0.9-26), sandwich (≥ 2.2-4)",NA,NA
vcd,vcd: Visualizing Categorical Data,OK,"Visualization techniques, data sets, summary and inference
        procedures aimed particularly at categorical data. Special
        emphasis is given to highly extensible grid graphics. The
        package was package was originally inspired by the book 
	""Visualizing Categorical Data"" by Michael Friendly and is 
	now the main support package for a new book, 
	""Discrete Data Analysis with R"" by Michael Friendly and 
	David Meyer (2015).",1.4-4,"R (≥ 2.4.0), grid","stats, utils, MASS, grDevices, colorspace, lmtest","KernSmooth, mvtnorm, kernlab, HSAUR, coin"
viridis,viridis: Default Color Maps from 'matplotlib',OK,"Implementation of the 'viridis' - the default -, 'magma', 'plasma', 
    'inferno', and 'cividis' color maps for 'R'. 'viridis', 'magma', 'plasma', 
    and 'inferno' are ported from 'matplotlib' <http://matplotlib.org/>, a 
    popular plotting library for 'python'. 'cividis', was developed by Jamie R. 
    Nuñez and Sean M. Colby. These color maps are designed in such a way that 
    they will analytically be perfectly perceptually-uniform, both in regular 
    form and also when converted to black-and-white. They are also designed to 
    be perceived by readers with the most common form of color blindness (all 
    color maps in this package) and color vision deficiency ('cividis' only). ",0.5.1,"R (≥ 2.10), viridisLite (≥ 0.3.0)","stats, ggplot2 (≥ 1.0.1), gridExtra","hexbin (≥ 1.27.0), scales, MASS, knitr, dichromat, colorspace, rasterVis, httr, mapproj, vdiffr, svglite (≥
1.2.0), testthat, covr, rmarkdown, rgdal"
whisker,"whisker: {{mustache}} for R, logicless templating",OK,"logicless templating, reuse templates in many programming
        languages including R",0.3-2,NA,NA,markdown
XLConnect,XLConnect: Excel Connector for R,OK,"Provides comprehensive functionality to read, write and format Excel data.",0.2-15,"R (≥ 2.10.0), XLConnectJars (== 0.2-15)","methods, rJava","RUnit, lattice, ggplot2 (≥ 0.9.3), zoo"
XLConnectJars,XLConnectJars: JAR Dependencies for the XLConnect Package,OK,Provides external JAR dependencies for the XLConnect package.,0.2-15,NA,rJava,NA
xlsx,"xlsx: Read, Write, Format Excel 2007 and Excel 97/2000/XP/2003 Files",OK,Provide R functions to read/write/format Excel 2007 and Excel 97/2000/XP/2003 file formats.,0.6.1,NA,"rJava, xlsxjars, grDevices, utils",NA
xlsxjars,xlsxjars: Package required POI jars for the xlsx package,OK,"The xlsxjars package collects all the external jars
  required for the xlxs package. This release corresponds to POI
  3.10.1.",0.6.1,rJava,NA,NA
XML,XML: Tools for Parsing and Generating XML Within R and S-Plus,OK,"Many approaches for both reading and
        creating XML (and HTML) documents (including DTDs), both local
        and accessible via HTTP or FTP.  Also offers access to an
        'XPath' ""interpreter"".",3.98-1.16,"R (≥ 2.13.0), methods, utils",NA,"bitops, RCurl"
xtable,xtable: Export Tables to LaTeX or HTML,OK,Coerce data to LaTeX and HTML tables.,1.8-2,R (≥ 2.10.0),"stats, utils","knitr, lsmeans, spdep, splm, sphet, plm, zoo, survival"
yaml,yaml: Methods to Convert R Data to YAML and Back,OK,"Implements the 'libyaml' 'YAML' 1.1 parser and emitter
  (<http://pyyaml.org/wiki/LibYAML>) for R.",2.2.0,NA,NA,RUnit
zoo,"zoo: S3 Infrastructure for Regular and Irregular Time Series (Z's
Ordered Observations)",OK,"An S3 class with methods for totally ordered indexed
             observations. It is particularly aimed at irregular time series
             of numeric vectors/matrices and factors. zoo's key design goals
             are independence of a particular index/date/time class and
             consistency with ts and base R by providing methods to extend
             standard generics.",1.8-3,"R (≥ 3.1.0), stats","utils, graphics, grDevices, lattice (≥ 0.20-27)","coda, chron, DAAG, fts, ggplot2, mondate, scales, strucchange, timeDate, timeSeries, tis, tseries, xts"
